Business_Name,Rating,Total_Reviews,Stars,Review
Sports World Aguascalientes,4.1,196,1,
Sports World Aguascalientes,4.1,196,5,"Me agrada el lugar y más porque pueden cuidar a mi bebé en la estancia y yo puedo hacer tranquilamente ejercicio, la sauna y el vapor un lugar para relajarte"
Sports World Aguascalientes,4.1,196,5,"Excelente lugar para el deporte de los pequeños, maestros de lo mejor"
Sports World Aguascalientes,4.1,196,5,Muy agradable y limpio
Sports World Aguascalientes,4.1,196,1,No cumple las promesas y acuerdos
Sports World Aguascalientes,4.1,196,5,
Sports World Aguascalientes,4.1,196,5,
Sports World Aguascalientes,4.1,196,4,
Sports World Aguascalientes,4.1,196,5,
Sports World Aguascalientes,4.1,196,1,
Sports World Altavista,4.4,387,5,"Es un poco raro porque son como 4 pisos de gym, en un piso está lo de pesas, en otro cardio, en otro los salones y hasta abajo vestidores etc... Pero bueno lo encontré limpio, el valet parking  muy amable, no me gusta que alguien más maneje mi carro pero los chavos dan confianza y me cobraron 15 pesos por 3 horas. Te deben sellar el boleto en recepción y listo."
Sports World Altavista,4.4,387,1,"Aguas porque te hacen cargos no autorizados, me hicieron un cargo por $2,000 que no autoricé.
La encargada la señorita millan me trató mal."
Sports World Altavista,4.4,387,5,"Gracias a todos los colaboradores son muy amables siempre dispuestos a apoyar, gracias chicos"
Sports World Altavista,4.4,387,5,Excelente servicio por el personal de ventas
Sports World Altavista,4.4,387,3,Precioso espacioso y buen precio
Sports World Altavista,4.4,387,5,Cool 😎 …
Sports World Altavista,4.4,387,5,
Sports World Altavista,4.4,387,5,
Sports World Altavista,4.4,387,5,
Sports World Altavista,4.4,387,5,
Sports World Altavista,4.4,387,5,
Sports World Antara,4.1,246,3,"Pros:
-They have all the general equipment you need.
-They have a nice staff
-They offer a few classes (I haven’t tried)
-Not crowded, you can get your workout done.

Cons:
-They way overcharge (120+ USD) for what they offer. It seems they intend to play the role of an exclusive gym but they just have what every regular gym has.
-Sub par hours, should be 24/7 for that price
-They raise the charge fee adjusted to inflation yearly (7% this year) and they didn’t even increase the employee wages.

The low rating is based on what’s offered compared to the price. If either they improved the hours and added some more specialty equipment or dropped the price to fair value… 70/80 USD it be 4/5 star.

I’ll continue to come here because thus far it’s the best gym option around me."
Sports World Antara,4.1,246,3,"Muchas regaderas no funcionan bien, tienes que andar cachando el agua porque salen para todos lados los chorros menos donde lo esperas, parecen aspersores de jardín.
Tienen una zona de peso fijo muy pequeña, los aparatos también me parecen pocos.
La zona de cardio tiene varios equipos, pero al menos 1/3 de las caminadoras no funcionan.
Creo que debería estar en mejores condiciones porque barato no es.
Las clases en definitiva son lo mejor del lugar."
Sports World Antara,4.1,246,4,Falta un poco mantenimiento y limpieza. Personal en la recepción conmigo fue amable. Me gusta la vista desde las caminadoras a la Plaza Carso
Sports World Antara,4.1,246,5,"Excelente gimnasio, entrenadores muy calificados y preparados, recepción muy limpia, baños, regaderas, vestidores y demás excelente.
Todo al 100.
Lo recomiendo mucho"
Sports World Antara,4.1,246,5,Un club muy tranquilo con un ambiente agradable para llevar a tu cuerpo a otro nivel
Sports World Antara,4.1,246,1,"Excelente lugar, para entrenar, nadar o simplemente entrar a sus clases, muy buen lugar"
Sports World Antara,4.1,246,1,No tienen línea telefónica activa … o actualizada
Sports World Antara,4.1,246,5,Exelente servicio
Sports World Antara,4.1,246,3,
Sports World Antara,4.1,246,5,
Sports World Antara,4.1,246,5,
Sports World Antara,4.1,246,4,
Sports World Anzures,4.3,363,2,"Like many of the reviewers here, I had a bad experience with Sports World and their murky pricing.

I’ll cover the good points about the gym to be fair - it’s always very clean, the staff are friendly and the equipment is always in good condition.

My bad review comes from the fact that when I signed up, I was paying around $2400MX per month for a double membership for two people. Every month the membership charge increased slightly. Fast forward seven months and now I’m paying $3000MX per month for just me. The increase is chalked up to multiple hidden fees that I wasn’t told about and ‘inflation’.

To me, there is no way this gym is worth that kind of money and the experience has left me with a bad taste. I decided to cancel the membership and will train elsewhere from now on when in Mexico."
Sports World Anzures,4.3,363,5,"Es pequeño, pero agradable. Tiene 3 salones para clase, el área de aparatos y los vestidores. Ubicación céntrica. Cuando salgo tarde del trabajo, encuentro clases a las 9. La plaza cuenta con estacionamiento, no olvides pedir tu cortesía en la recepción para obtener un descuento en el estacionamiento."
Sports World Anzures,4.3,363,3,"Está chiquito, funcional, estándar y percibo que va poca gente lo cual está genial. Lo malo es que tiene pocas clases les mills, por ejemplo en toda la semana no hay ni una sola clase de body combat por la tarde 🫤
La gente azota el equipo y nadie les dice nada.
Lo demás súper bien."
Sports World Anzures,4.3,363,3,Suele estar muy desordenado y está carísimo para lo que ofrece. Recomendaría ver otras opciones antes de inscribirse a este. Algunas personas de recepción son algo apáticas.
Sports World Anzures,4.3,363,5,"Lugar limpio y con aparatos disponibles, clases de diferentes disciplinas y excelentes atención del personal."
Sports World Anzures,4.3,363,5,Muy ordenado el lugar. Es un lugar para hacer ejercicio con tranquilidad.
Sports World Anzures,4.3,363,5,Pequeño pero está completo y tiene buenas instalaciones
Sports World Anzures,4.3,363,4,Personal amable y un lugar adecuado para hacer ejercicio
Sports World Anzures,4.3,363,5,Buen lugar. Falta mejorar el área de lockers
Sports World Anzures,4.3,363,2,"De los peores sports world que hay,"
Sports World Anzures,4.3,363,5,The steam room kinda sticks though
Sports World Anzures,4.3,363,4,"Hoy, el vapor olía a sudor; muy fuerte"
Sports World Anzures,4.3,363,5,"I want to get there, but I still haven't gotten there"
Sports World Anzures,4.3,363,5,
Sports World Anzures,4.3,363,5,
Sports World Anzures,4.3,363,5,
Sports World Anzures,4.3,363,5,
Sports World Anzures,4.3,363,3,
Sports World Anzures,4.3,363,5,
Sports World Anzures,4.3,363,4,
Sports World Anzures,4.3,363,1,
Sports World Anzures,4.3,363,5,
Sports World Anzures,4.3,363,4,
Sports World Av. Coyoacán,4.3,349,5,"Muy agradable el gym, de pierna solo una una maquina por ejercicio y no tienen hack, pero el area de funcional me gusta, está más completa que otras, tienen medball, más barras y al menos un par de discos de cada peso.

Los baños son de los pocos que no tienen regadera por tiempos.

Ya quitaron el acondicionador.

Tienes 2 horas de estacionamiento por 20 pesos."
